# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  152       5.962827218024e-10       1.438140985873e-13      -6.127085737686e-12       9.640610779252e-16       3.149945720197e-12       6.102482776559e-13      -3.801156083430e-15 
  153       6.006392540052e-10       1.430324493741e-13      -6.123335688943e-12       9.779569161007e-16       3.091149504152e-12       6.014992957660e-13      -3.734202912959e-15 
  154       6.049654622642e-10       1.421968911886e-13      -6.116247265724e-12       9.919811584310e-16       3.033609854558e-12       5.928949956576e-13      -3.667807448772e-15 
  155       6.092602618324e-10       1.413089313398e-13      -6.105783832419e-12       1.006134103901e-15       2.977331822916e-12       5.844369672362e-13      -3.601974378555e-15 
  156       6.135225433282e-10       1.403701846022e-13      -6.091910474319e-12       1.020416030141e-15       2.922316599885e-12       5.761263023679e-13      -3.536705209187e-15 
  157       6.177511722629e-10       1.393823749090e-13      -6.074594038567e-12       1.034827192970e-15       2.868561424355e-12       5.679635826217e-13      -3.471998189270e-15 
  158       6.219449885688e-10       1.383473370451e-13      -6.053803175104e-12       1.049367825945e-15       2.816059492521e-12       5.599488670108e-13      -3.407848231660e-15 
  159       6.261028061263e-10       1.372670183399e-13      -6.029508377620e-12       1.064038139906e-15       2.764799866954e-12       5.520816797349e-13      -3.344246835995e-15 
  160       6.302234122924e-10       1.361434803602e-13      -6.001682024501e-12       1.078838322524e-15       2.714767385677e-12       5.443609979214e-13      -3.281182011222e-15 
  161       6.343055674275e-10       1.349789006037e-13      -5.970298419779e-12       1.093768537843e-15       2.665942571231e-12       5.367852393677e-13      -3.218638198133e-15 
  162       6.383480044240e-10       1.337755741912e-13      -5.935333834080e-12       1.108828925830e-15       2.618301539758e-12       5.293522502828e-13      -3.156596191889e-15 
  163       6.423494282333e-10       1.325359155600e-13      -5.896766545573e-12       1.124019601922e-15       2.571815910063e-12       5.220592930288e-13      -3.095033064548e-15 
  164       6.463085153940e-10       1.312624601568e-13      -5.854576880918e-12       1.139340656567e-15       2.526452712694e-12       5.149030338633e-13      -3.033922087602e-15 
